,sentence,tokens,tags,Indicator
0,"During the conference in Berlin, the security token 9w8e7r6tyuio_pqas23dfghjklzxcvbnm was registered from 10.0.0.45 by Microsoft on Tuesday.","['During', 'the', 'conference', 'in', 'Berlin', ',', 'the', 'security', 'token', '9w8e7r6tyuio_pqas23dfghjklzxcvbnm', 'was', 'registered', 'from', '10.0.0.45', 'by', 'Microsoft', 'on', 'Tuesday', '.']","['O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-org', 'O', 'B-tim', 'O']",True
1,"Yesterday, Dr. Amelia Earhart logged in using the code zxcnm_12345-asdfghjklqwertyuiop from 172.217.5.68 at NASA headquarters.","['Yesterday', ',', 'Dr.', 'Amelia', 'Earhart', 'logged', 'in', 'using', 'the', 'code', 'zxcnm_12345-asdfghjklqwertyuiop', 'from', '172.217.5.68', 'at', 'NASA', 'headquarters', '.']","['B-tim', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'B-org', 'O', 'O']",True
2,The encrypted payload 3q2w1e4r5t6y7u8i9o0p_lkjasd_hgf_ was transmitted via 2607:f8b0:4005:805::200e from New York City.,"['The', 'encrypted', 'payload', '3q2w1e4r5t6y7u8i9o0p_lkjasd_hgf_', 'was', 'transmitted', 'via', '2607:f8b0:4005:805::200e', 'from', 'New', 'York', 'City', '.']","['O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'I-geo', 'O']",True
3,Amazon's server at 192.168.100.101 received the token lkjhgfdsapoiuytrewq_0987654321-zxcvbnm from Paris last night.,"['Amazon', ""'s"", 'server', 'at', '192.168.100.101', 'received', 'the', 'token', 'lkjhgfdsapoiuytrewq_0987654321-zxcvbnm', 'from', 'Paris', 'last', 'night', '.']","['B-org', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'O', 'B-Token', 'O', 'B-geo', 'B-tim', 'I-tim', 'O']",True
4,"At 08:30 AM, CEO John Smith deployed the asset abcd1234efgh5678ijklmnopqr_stuvwx-yz to 203.0.113.195 in London.","['At', '08:30', 'AM', ',', 'CEO', 'John', 'Smith', 'deployed', 'the', 'asset', 'abcd1234efgh5678ijklmnopqr_stuvwx-yz', 'to', '203.0.113.195', 'in', 'London', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'B-per', 'I-per', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'B-geo', 'O']",True
5,The mysterious identifier qwertyuiopasdfghjklzxcvbnm_1234567890 was traced back to 198.51.100.23 near Mount Everest during the expedition.,"['The', 'mysterious', 'identifier', 'qwertyuiopasdfghjklzxcvbnm_1234567890', 'was', 'traced', 'back', 'to', '198.51.100.23', 'near', 'Mount', 'Everest', 'during', 'the', 'expedition', '.']","['O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'O', 'O', 'O', 'O']",True
6,Facebook detected a login attempt from the token zxcvbnm_0987poiuytrewqasdfghjkl-1234567890 at 2400:cb00:2048:1::c629:d7a2 yesterday.,"['Facebook', 'detected', 'a', 'login', 'attempt', 'from', 'the', 'token', 'zxcvbnm_0987poiuytrewqasdfghjkl-1234567890', 'at', '2400:cb00:2048:1::c629:d7a2', 'yesterday', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'B-tim', 'O']",True
7,Dr. Sarah Connor sent the encrypted string 1a2b3c4d5e6f7g8h9i0jklmnopqrstuvwx-yz from 127.0.0.1 during the 2023 summit in San Francisco.,"['Dr.', 'Sarah', 'Connor', 'sent', 'the', 'encrypted', 'string', '1a2b3c4d5e6f7g8h9i0jklmnopqrstuvwx-yz', 'from', '127.0.0.1', 'during', 'the', '2023', 'summit', 'in', 'San', 'Francisco', '.']","['O', 'B-per', 'I-per', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'B-IP', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'I-geo', 'O']",True
8,"On Friday morning, the device token 0a9b8c7d6e5f4g3h2i1jklmnopqrstuvwxyz_abcd was identified at 8.8.8.8 by the United Nations.","['On', 'Friday', 'morning', ',', 'the', 'device', 'token', '0a9b8c7d6e5f4g3h2i1jklmnopqrstuvwxyz_abcd', 'was', 'identified', 'at', '8.8.8.8', 'by', 'the', 'United', 'Nations', '.']","['O', 'B-tim', 'I-tim', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'O', 'O', 'B-org', 'I-org', 'O']",True
9,Tesla's new software update with key 7z8x9c0vbnmasdfghjklqwertyuiop_123456789 was uploaded from fe80::1ff:fe23:4567:890a yesterday evening in Seattle.,"['Tesla', ""'s"", 'new', 'software', 'update', 'with', 'key', '7z8x9c0vbnmasdfghjklqwertyuiop_123456789', 'was', 'uploaded', 'from', 'fe80::1ff:fe23:4567:890a', 'yesterday', 'evening', 'in', 'Seattle', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'B-IP', 'B-tim', 'I-tim', 'O', 'B-geo', 'O']",True
0,"Yesterday, the Token 4f7b9c1d8e2a3f0b7c6d5e4f_g7h8i9j0k1l2m3n4 was traced back to the IP 192.168.0.101 in New York City by Microsoft Corporation.","['Yesterday', ',', 'the', 'Token', '4f7b9c1d8e2a3f0b7c6d5e4f_g7h8i9j0k1l2m3n4', 'was', 'traced', 'back', 'to', 'the', 'IP', '192.168.0.101', 'in', 'New', 'York', 'City', 'by', 'Microsoft', 'Corporation', '.']","['B-tim', 'O', 'O', 'O', 'B-Token', 'O', 'O', 'O', 'O', 'O', 'O', 'B-IP', 'O', 'B-geo', 'I-geo', 'I-geo', 'O', 'B-org', 'I-org', 'O']",True
